Query,Description,Title,URL,Snippet,Total Judgement,Relevant,Irrelevant
Accidentes petrolíferos y aves,Encontrar documentos que describan daños o lesiones causadas a las aves por vertidos accidentales de petróleo o polución.,Vertidos de petróleo y aves - Ambientum Portal Lider ...,https://www.ambientum.com/ambientum/medio-natural/vertidos-de-petroleo-y-aves.asp,Inicio Ambientum Medio Natural Vertidos de petróleo y aves. ... de los derrames petrolíferos en ... de calidad antes y después del accidente.,10,9,1
Accidentes petrolíferos y aves,Encontrar documentos que describan daños o lesiones causadas a las aves por vertidos accidentales de petróleo o polución.,"Accidentes petroleros | Glasheen, Valles & Inderman",https://gvilaw.com/es/areas-de-practica/lesiones-de-trabajo/lesiones-de-campos-petroleros/,Hay numerosas lesiones y muertes en el yacimiento petrolífero de cada año. Nuestra firma ha manejado numerosos casos de yacimientos petrolíferos importantes oeste ...,10,4,6
Medio ambiente y petróleo en el Mar del Norte,¿Qué medidas se han emprendido para proteger el medio ambiente ante el aumento de la exploración y producción de petróleo en el Mar del Norte?,"Los noruegos \nuevos ricos\"""," gracias al petróleo del mar ...""",https://elpais.com/diario/1981/04/17/economia/356306407_850215.html,17,5,12
Medio ambiente y petróleo en el Mar del Norte,¿Qué medidas se han emprendido para proteger el medio ambiente ante el aumento de la exploración y producción de petróleo en el Mar del Norte?,Medio Ambiente - Preocupación en el Mar del Norte por ...,https://www.elclima-enelmundo.com/2011/08/medio-ambiente-preocupacion-en-el-mar.html,"Medio Ambiente - Derrame de Petróleo - A más de un año de la catástrofe medioambiental provocada por el derrame de petróleo en el Golfo de México, el Mar del ...",17,11,6
Medio ambiente y petróleo en el Mar del Norte,¿Qué medidas se han emprendido para proteger el medio ambiente ante el aumento de la exploración y producción de petróleo en el Mar del Norte?,Contaminación del mar con petróleo - Medio Ambiente,https://www.medioambiente.net/contaminacion-del-mar-con-petroleo/,La contaminación a causa de derrames de petróleo son bastantes frecuentes y en algunos ... del mar con petróleo. ... nocivas para el medio ambiente.,17,9,8
Medio ambiente y petróleo en el Mar del Norte,¿Qué medidas se han emprendido para proteger el medio ambiente ante el aumento de la exploración y producción de petróleo en el Mar del Norte?,"El petróleo del mar del Norte, salvación de la balanza de ...",https://elpais.com/diario/1981/03/29/economia/354668403_850215.html,"El petróleo del mar del Norte, ... Medio Ambiente ; Igualdad ; Sanidad ... Se pueden descontar los gastos de capital y de prospección y el equivalente de ...",1,1,0
Medio ambiente y petróleo en el Mar del Norte,¿Qué medidas se han emprendido para proteger el medio ambiente ante el aumento de la exploración y producción de petróleo en el Mar del Norte?,Hallazgo: petróleo en el Mar del Norte alcanza los 10 ...,https://www.energia16.com/petroleo-en-el-mar-del-norte/,El petróleo en el Mar del Norte hallado ayer es ligero y tiene una capacidad de 10 millones de barriles. La empresa Apache fue la encargada de los trabajos,1,1,0
Medio ambiente y petróleo en el Mar del Norte,¿Qué medidas se han emprendido para proteger el medio ambiente ante el aumento de la exploración y producción de petróleo en el Mar del Norte?,Nuevo descubrimiento de petróleo en el Mar del Norte ...,https://www.revistapetroquimica.com/nuevo-descubrimiento-de-petroleo-en-el-mar-del-norte/,Equinor y sus socios Lundin y Spirit Energy han obtenido petróleo en la ... Medio Ambiente; ... Home Petróleo. Nuevo descubrimiento de petróleo en el Mar del Norte,1,1,0
Destrucción de la capa de ozono,¿Qué agujeros en la capa de ozono no son una consecuencia de la contaminación?,Destrucción de la Capa de Ozono: Causas y consecuencias,https://www.lifeder.com/destruccion-capa-ozono/,La destrucción de la capa de ozono es el descenso de la cantidad de ozono que se encuentra en la estratosfera terrestre (específicamente en la capa de ozono ...,23,18,5
Destrucción de la capa de ozono,¿Qué agujeros en la capa de ozono no son una consecuencia de la contaminación?,"Destrucción de la capa de ozono: definición, causas y ...",https://www.ecologiaverde.com/destruccion-de-la-capa-de-ozono-definicion-causas-y-consecuencias-1916.html,"Conoce todo sobre la destrucción de la capa de ozono, su definición, las causas y las consecuencias para todos, tanto personas, como el resto de animales ...",23,21,2
Destrucción de la capa de ozono,¿Qué agujeros en la capa de ozono no son una consecuencia de la contaminación?,Destrucción de la capa de ozono - Monografias.com,https://www.monografias.com/trabajos57/destruccion-capa-ozono/destruccion-capa-ozono.shtml,En la actualidad la preocupación concerniente a los efectos de un,23,14,9
Destrucción de la capa de ozono,¿Qué agujeros en la capa de ozono no son una consecuencia de la contaminación?,"Capa de ozono | Qué es, para qué sirve, características ...",https://www.euston96.com/capa-de-ozono/,Destrucción de la capa de ozono Agujero. El agujero de la capa es una zona en la que se dan reducciones anormales en la cantidad de ozono. Este fenómeno se produce ...,11,8,3
Destrucción de la capa de ozono,¿Qué agujeros en la capa de ozono no son una consecuencia de la contaminación?,"Capa de ozono - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Capa_de_ozono,"Se denomina capa de ozono u ozonosfera a la zona de la estratosfera terrestre que contiene una concentración relativamente alta [1] de ozono. Esta capa, que se ...",11,5,6
Destrucción de la capa de ozono,¿Qué agujeros en la capa de ozono no son una consecuencia de la contaminación?,¿Cuáles son las causas de la destrucción de la capa de ozono?,https://ecotrendies.com/cuales-son-las-causas-de-la-destruccion-de-la-capa-de-ozono.html,¿Por qué se forma el agujero de la capa de ozono? ¿Qué motivos lo provocan? Descubre los principales causantes que están detrás de este grave problema.,11,8,3
¿Quién es el director gerente de FIAT?,¿Quién es el director gerente de FIAT?,Nuevo Director General de FCA Automobiles Argentina | Fiat,https://www.fiat.com.ar/content/nuevo-director-general-de-fca-automobiles-argentina,El ingeniero Antonio Filosa es el nuevo Director General de FCA –Fiat Chrysler ... quien tras más de 40 ... donde ocupó los cargos de gerente de ...,20,17,3
¿Quién es el director gerente de FIAT?,¿Quién es el director gerente de FIAT?,Reestructura Chrysler-FIAT toda su organización en México ...,https://www.alvolante.info/nacionales/reestructura-chrylser-fiat-toda-su-organizacion-en-mexico/,Rodrigo Garrido queda como gerente de marca FIAT; Juan Plauchú es ... como director general de FIAT ... es nombrado Gerente de Marca Jeep quien ...,20,13,7
¿Quién es el director gerente de FIAT?,¿Quién es el director gerente de FIAT?,"Perfil. Quién es David Lipton, el director gerente ...",https://www.eluniversal.com.mx/cartera/economia/perfil-quien-es-david-lipton-el-director-gerente-interino-del-fmi,"Quién es David Lipton, el director gerente interino del FMI. Cartera. 02/07/2019. 18:15. Redacción -A + A. Lipton realizó su doctorado y su Maestría de la ...",20,4,16
¿Quién es el director gerente de FIAT?,¿Quién es el director gerente de FIAT?,"Gerente - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Gerente,"El término gerente denomina a quien está a cargo de la dirección o coordinación de una organización, ... no es razonable esperar que los directores de estas ...",7,1,6
¿Quién es el director gerente de FIAT?,¿Quién es el director gerente de FIAT?,¿Qué es un Gerente? - Enciclopedia de Tareas,https://www.enciclopediadetareas.net/2012/10/que-es-un-gerente.html,"El gerente es la persona que está encargado de la dirección, coordinación, o administración de una empresa, una institución u organización.",7,1,6
¿Quién es el director gerente de FIAT?,¿Quién es el director gerente de FIAT?,"Significado de Gerente - Qué es, Definición y Concepto",https://quesignificado.com/gerente/,"Gerente, en inglés management, es la persona de mayor jerarquía en el organigrama de personal de una organización empresarial, cuya misión es conducir, liderar ...",7,1,6
¿Cómo puedes ahorrar energía?,¿Cómo puedes ahorrar energía?,10 Hábitos Para Ahorrar Energía en Casa | Lucera Energía,https://lucera.es/blog/habitos-ahorro-energia,"Ahorrar energía no es difícil. Tan solo adquiriendo algunos hábitos diarios de eficiencia energética podemos ahorrar. Aprovechar la luz natural, cambiar la ...",19,19,0
¿Cómo puedes ahorrar energía?,¿Cómo puedes ahorrar energía?,como podemos ahorrar energía - spanish.alibaba.com,https://spanish.alibaba.com/f/como-podemos-ahorrar-energ%C3%ADa.html,Encuentre la mejor selección de fabricantes como podemos ahorrar energía y catálogo de productos como podemos ahorrar energía baratos de alta calidad para el ...,19,15,4
¿Cómo puedes ahorrar energía?,¿Cómo puedes ahorrar energía?,Cómo ahorrar en energía. Descubre cómo puedes ahorrar energía,https://www.ennaranja.com/tag/ahorrar-en-energia/page/2/,"Cómo ahorrar en energía. Descubre cómo puedes ahorrar energía. Ahorrar en el recibo de la luz gracias a nuestros trucos, recomendaciones, consejos e información.",19,18,1
¿Dónde fue fundada Greenpeace?,¿Dónde fue fundada Greenpeace?,"Greenpeace - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Greenpeace,"Greenpeace (del inglés green: verde y peace: paz) es una ONG ambientalista fundada en 1971 en Vancouver, Canadá. El objetivo de la organización es proteger y ...",13,13,0
¿Dónde fue fundada Greenpeace?,¿Dónde fue fundada Greenpeace?,¿Quién fundó Greenpeace? | ExpokNews,https://www.expoknews.com/%C2%BFquien-fundo-greenpeace/,"La conocida organización ecologista no tuvo un solo fundador, su nacimiento fue resultado de una serie de eventos. ... (greenpeace) pero las dos ...",13,9,4
¿Dónde fue fundada Greenpeace?,¿Dónde fue fundada Greenpeace?,Preguntas frecuentes - Greenpeace Argentina,https://www.greenpeace.org/argentina/preguntas-frecuentes/,¿Qué es Greenpeace? ... ¿Cómo y cuándo fue fundada? ... trabajamos con call centers desde donde se realizan llamadas telefónicas para informar sobre el trabajo ...,13,7,6
¿Dónde fue fundada Greenpeace?,¿Dónde fue fundada Greenpeace?,Preguntas frecuentes - Greenpeace Colombia,https://www.greenpeace.org/colombia/faq/,¿Cómo y cuándo fue fundada? ... ¿Cómo puedo conseguir merchandising de Greenpeace? ... ¿Dónde encuentro información sobre Greenpeace?,7,5,2
¿Dónde fue fundada Greenpeace?,¿Dónde fue fundada Greenpeace?,¿Cuál es el origen de Greenpeace? - COSAS CURIOSAS,https://cazacuriososelblog.blogspot.com/2012/05/cual-es-el-origen-greenpeace.html,... no fue en vano: Greenpeace fue noticia en los periódicos y su emergente fama hizo que otras ... fue fundada por Paul ... De dónde proviene el nombre de ...,7,7,0
¿Dónde fue fundada Greenpeace?,¿Dónde fue fundada Greenpeace?,GreenPeace: ¿qué es GreenPeace? - ElBlogVerde.com,https://elblogverde.com/greenpeace-historia-y-situacion-actual-de-una-organizacion-ecologista/,"Oringalmente GreenPeace fue fundada en el año 1971 en Canadá, y desde entonces lucha diariamente por el medioambiente, por los últimos bosques primarios del ...",7,5,2
¿Cuántos pandas en estado salvaje hay en China?,¿Cuántos pandas en estado salvaje hay en China?,"Osos panda, regreso a la libertad en China",https://www.nationalgeographic.com.es/naturaleza/grandes-reportajes/conservacion-especies-osos-panda-regreso-libertad-china_10575,"Los chinos han aprendido a criar pandas gigantes. Ahora los reintroducen en la naturaleza, ... ¿Cuántos pandas hay en estado salvaje?",15,11,4
¿Cuántos pandas en estado salvaje hay en China?,¿Cuántos pandas en estado salvaje hay en China?,¿En qué zonas del mundo hay pandas? – #afinidadviajera,https://afinidadviajera.com/2017/03/18/en-que-zonas-del-mundo-hay-pandas/,"Los pandas salvajes viven en los bosques de bambú localizados en el centro y suroeste de China. ... Tailandia, también cuenta con pandas. ¿Cuántos pandas hay en ...",15,7,8
¿Cuántos pandas en estado salvaje hay en China?,¿Cuántos pandas en estado salvaje hay en China?,Datos sobre pandas en peligro de extinción,https://www.ehowenespanol.com/datos-pandas-peligro-extincion-sobre_123801/,"El panda gigante es un animal querido y reconocible al instante, a pesar de que un estudio del 2004 mostró que sólo alrededor de 1.600 pandas viven en estado salvaje.",15,12,3
¿Cuántos pandas en estado salvaje hay en China?,¿Cuántos pandas en estado salvaje hay en China?,China apuesta por el reconocimiento facial: ahora les toca ...,https://www.lavanguardia.com/natural/animaladas-videos/20190521/462360462031/china-apuesta-reconocimiento-facial-pandas.html,China es el único país en el que los osos panda viven en estado salvaje. Los chinos sienten auténtica devoción por estas entrañables criaturas que ...,1,0,1
¿Cuántos pandas en estado salvaje hay en China?,¿Cuántos pandas en estado salvaje hay en China?,Oso Panda - Información y Características,https://www.bioenciclopedia.com/oso-panda/,"El oso panda es llamado en China oso-gato ... el oso panda solo habita en esta región en estado salvaje, ... el número de reservas naturales se ha ...",1,1,0
¿Cuántos pandas en estado salvaje hay en China?,¿Cuántos pandas en estado salvaje hay en China?,Datos que no sabías sobre los Osos Pandas: Vida de los ...,https://datoscuriosos-osospandas.blogspot.com/2016/01/vida-de-los-osos-panda.html,Hay alrededor de 1000 dejó en estado salvaje. ... Científicos chinos han informado de pandas del zoológico como viejos como 35. Dieta.,1,1,0
¿Cuál es la unidad de medida de frecuencia?,¿Cuál es la unidad de medida de frecuencia?,"¿Cual es la unidad de medida de la frecuencia!?, ¿Porque ...",https://es.answers.yahoo.com/question/index?qid=20120816123849AA2xtjJ,Les pido porfavor que me la contestenn por lo menos 1 o las 2 es lo ideal!! porfa rapido ;D,25,18,7
¿Cuál es la unidad de medida de frecuencia?,¿Cuál es la unidad de medida de frecuencia?,Cuál es la unidad de medida de la frecuencia de onda ...,https://brainly.lat/tarea/9570346,Encuentra una respuesta a tu pregunta Cuál es la unidad de medida de la frecuencia de onda,23,16,7
¿Cuál es la unidad de medida de frecuencia?,¿Cuál es la unidad de medida de frecuencia?,"Frecuencia - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Frecuencia,La frecuencia es una magnitud que mide el número de ... Otras unidades para indicar frecuencias son ... frecuencia. La cual por convención se mide en ...,23,12,11
¿Cuál es la unidad de medida de frecuencia?,¿Cuál es la unidad de medida de frecuencia?,ONDAS: UNIDADES DE MEDIDA DE UNA ONDA,https://fisicaondas11-3.blogspot.com/2008/07/unidades-de-medida-de-una-onda.html,Veamos algunos conceptos físicos que se utilizan para caracterizar las unidades de la medida de ... en otras palabras la frecuencia es la rapidez con la cual la ...,9,4,5
¿Cuál es la unidad de medida de frecuencia?,¿Cuál es la unidad de medida de frecuencia?,Cuál es la unidad de medida del sonido - cualesel.net,https://cualesel.net/la-unidad-de-medida-del-sonido/,Para saber cuál es la unidad de medida del sonido hay que tener en cuenta que para que podamos escuchar algo tiene que haber una vibración en el aire o en el agua,9,3,6
¿Cuál es la unidad de medida de frecuencia?,¿Cuál es la unidad de medida de frecuencia?,"Unidades de medida de: longitud, volumen, masa y tiempo",https://www.portaleducativo.net/cuarto-basico/550/Unidades-de-medida-de-longitud-volumen-masa-tiempo,Medir es comparar una magnitud con otra que llamamos unidad. La medida es el número de veces que la magnitud contiene a la ... ¿Cuál es la diferencia entre masa y ...,9,2,7
Competidores de Microsoft,¿Qué compañías son las actuales o potenciales competidoras o rivales de Microsoft?,Comparativa entre Microsoft y sus principales competidores,https://www.windowsnoticias.com/comparativa-entre-microsoft-y-sus-principales-competidores/,"Como muchos sabrán, en el mercado de los ordenadores y la informática existen cuatro grandes competidores que compiten constántemente por el podio, en",21,16,5
Competidores de Microsoft,¿Qué compañías son las actuales o potenciales competidoras o rivales de Microsoft?,Razones de éxito de Microsoft y sus 3 principales ...,https://www.mundoinsider.com/71894/razones-exito-microsoft-3-principales-competidores/,análisis de razones de éxito reales de las Microsoft y sus competidores vs. mitos existentes,21,5,16
Competidores de Microsoft,¿Qué compañías son las actuales o potenciales competidoras o rivales de Microsoft?,Microsoft & Competencia - es.slideshare.net,https://es.slideshare.net/Pablofb/microsoft-competencia,Clase del master ADM Business School impartida por Pablo Fernández Burgueño sobre Microsoft y el Derecho de Competencia; a propósito de las sanciones impuestas…,21,15,6
Competidores de Microsoft,¿Qué compañías son las actuales o potenciales competidoras o rivales de Microsoft?,Competidores de Microsoft CRM - buscocrm.com,http://www.buscocrm.com/microsoft-competitors.php,"In this Microsoft CRM review, we compare CRM software competitors by criteria including software scope, market, industry, delivery model and price.",7,7,0
Competidores de Microsoft,¿Qué compañías son las actuales o potenciales competidoras o rivales de Microsoft?,Los rivales de Microsoft ponen sus ojos en Office para ...,https://www.knowledgeatwharton.com.es/article/los-rivales-de-microsoft-ponen-sus-ojos-en-office-para-derrocar-al-gigante/,"Los actuales competidores de Microsoft Office son muy diferentes a los rivales que tenía antes Microsoft, como Novell y Netscape.",7,6,1
Competidores de Microsoft,¿Qué compañías son las actuales o potenciales competidoras o rivales de Microsoft?,¿Nuevo competidor de Microsoft? Kaspersky crea un sistema ...,https://mundo.sputniknews.com/tecnologia/201702161067007151-kaspersky-sistema-operativo/,Los desarrolladores del gigante informático ruso Kaspersky Lab han creado un nuevo sistema operativo llamado KasperskyOS 11-11. Es compatible con sistemas de control ...,7,7,0
Fluctuaciones del Precio del Petróleo,¿Porqué cambia el precio internacional del petróleo?,Fluctuación del precio del petróleo en los ultimos 10 años ...,https://prezi.com/lcpuotzi9hhu/fluctuacion-del-precio-del-petroleo-en-los-ultimos-10-anos/,La agencia internacional de la Energia (AIE) calcula que el precio medio del barril de petróleo superará los 100 dólares en los próximos siete años y que a ...,21,16,5
Fluctuaciones del Precio del Petróleo,¿Porqué cambia el precio internacional del petróleo?,Acerca de las fluctuaciones en los precios del petróleo ...,https://www.latribuna.hn/2017/05/13/acerca-las-fluctuaciones-los-precios-del-petroleo/,"Por Sigfrido A. Sandoval Miembro del CIMEQH En los diferentes medios, con bastante frecuencia, los ciudadanos interrogan acerca de cuáles",21,20,1
Fluctuaciones del Precio del Petróleo,¿Porqué cambia el precio internacional del petróleo?,Efectos de la fluctuación del precio del petróleo ...,https://www.auditoriaygestion.co/efectos-de-la-fluctuacion-del-precio-del-petroleo/,Efectos de la fluctuación del precio del petróleo: Durante el segundo semestre del 2014 y hasta la fecha el precio del petróleo ha ganado especial....,21,9,12
Películas ambientadas en Escocia,Encontrar cualquier información sobre películas cuya trama se sitúe en Escocia.,20 películas rodadas en Escocia - Viajar por Escocia ...,https://viajarporescocia.com/guia-de-escocia/peliculas-rodadas-en-escocia/,"¿Qué películas fueron rodadas en Escocia? Descubre las localizaciones de Braveheart, Harry Potter, Trainspotting y muchas más.",10,9,1
Películas ambientadas en Escocia,Encontrar cualquier información sobre películas cuya trama se sitúe en Escocia.,Escocia en el cine: 20 escenarios de pelis y series que ...,https://masedimburgo.com/2017/04/10/lugares-cine-escocia-peliculas-series/,Descubre 20 escenarios de cine en Escocia. ... descubrir algunas de las mejores series y películas rodadas en Escocia? ... la peli de Pixar ambientada en Escocia.,10,9,1
Películas ambientadas en Escocia,Encontrar cualquier información sobre películas cuya trama se sitúe en Escocia.,18 series de TV rodadas en Escocia que no te puedes perder,https://lovelyscotland.com/series-de-tv-rodadas-en-escocia/,"Aunque Outlander sea la reina de las series de TV rodadas en Escocia, ... De momento no puedo recomendarte ninguna película ambientada en Escocia en esa época que ...",9,7,2
